"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","Battery:BatteryHolder_ComfortableElectronic_CH273-2450_1x2450","~"
"C1,C2","2","12u","","","","","~"
"C3","1","1p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C8","2","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5,C7","2","10n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","47p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2","2","D_Schottky","","","","Diode_SMD:D_0805_2012Metric","~"
"D4","1","G_ON","","","","LED_SMD:LED_0805_2012Metric","~"
"D5","1","LED_BKGR","","","","LED_THT:LED_D5.0mm-4_RGB","~"
"DS1","1","OLED-128O064D","","","","Display:OLED-128O064D","https://www.vishay.com/docs/37902/oled128o064dbpp3n00000.pdf"
"FB1","1","120 @100MHz","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~"
"J1","1","USB_B","","","","Connector_USB:USB_B_Lumberg_2411_02_Horizontal","~"
"L1","1","L","","","","Inductor_SMD:L_0805_2012Metric","~"
"R1,R2","2","22","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","1M","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R5","2","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6","1","30.6k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R8,R9,R12","4","220","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10,R11","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"RV1,RV2,RV3","3","R_Potentiometer","","","","Potentiometer_SMD:Potentiometer_ACP_CA6-VSMD_Vertical","~"
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm","~"
"SW2","1","SW_Wuerth_450301014042","","","","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","https://www.we-online.com/components/products/datasheet/450301014042.pdf"
"U1","1","ATmega32U4-A","","","","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf"
"U2","1","~","","","","Colorful_LED:Reg",""
"Y1","1","8MHz","","","","Crystal:Crystal_SMD_HC49-SD_HandSoldering","~"
